,use
2018-08-03 00:00:00,5142.85
2018-08-03 01:00:00,4878.0127
2018-08-03 02:00:00,4658.249
2018-08-03 03:00:00,4520.8555
2018-08-03 04:00:00,4495.4053
2018-08-03 05:00:00,4567.0796
2018-08-03 06:00:00,4699.642
2018-08-03 07:00:00,4856.5386
2018-08-03 08:00:00,5014.1606
2018-08-03 09:00:00,5164.987
2018-08-03 10:00:00,5312.159
2018-08-03 11:00:00,5462.353
2018-08-03 12:00:00,5620.86
2018-08-03 13:00:00,5788.3496
2018-08-03 14:00:00,5958.507
2018-08-03 15:00:00,6117.361
2018-08-03 16:00:00,6244.3096
2018-08-03 17:00:00,6315.71
2018-08-03 18:00:00,6309.9404
2018-08-03 19:00:00,6212.42
2018-08-03 20:00:00,6017.937
2018-08-03 21:00:00,5730.084
2018-08-03 22:00:00,5359.37
2018-08-03 23:00:00,4922.9927
2018-08-04 00:00:00,4575.8296
2018-08-04 01:00:00,4321.9995
2018-08-04 02:00:00,4107.539
2018-08-04 03:00:00,3977.121
2018-08-04 04:00:00,3964.0173
2018-08-04 05:00:00,4065.8123
2018-08-04 06:00:00,4248.764
2018-08-04 07:00:00,4467.6357
2018-08-04 08:00:00,4687.752
2018-08-04 09:00:00,4895.6455
2018-08-04 10:00:00,5096.091
2018-08-04 11:00:00,5300.968
2018-08-04 12:00:00,5519.8823
2018-08-04 13:00:00,5753.9004
2018-08-04 14:00:00,5993.325
2018-08-04 15:00:00,6218.31
2018-08-04 16:00:00,6402.164
2018-08-04 17:00:00,6517.5977
2018-08-04 18:00:00,6543.3027
2018-08-04 19:00:00,6467.9116
2018-08-04 20:00:00,6289.6885
2018-08-04 21:00:00,6013.2637
2018-08-04 22:00:00,5647.335
2018-08-04 23:00:00,5205.687
2018-08-05 00:00:00,4847.832
2018-08-05 01:00:00,4584.4985
2018-08-05 02:00:00,4359.311
2018-08-05 03:00:00,4216.5806
2018-08-05 04:00:00,4179.303
2018-08-05 05:00:00,4241.3857
2018-08-05 06:00:00,4373.753
2018-08-05 07:00:00,4540.877
2018-08-05 08:00:00,4717.2783
2018-08-05 09:00:00,4894.5625
2018-08-05 10:00:00,5077.6855
2018-08-05 11:00:00,5276.086
2018-08-05 12:00:00,5495.646
2018-08-05 13:00:00,5733.808
2018-08-05 14:00:00,5977.6465
2018-08-05 15:00:00,6204.744
2018-08-05 16:00:00,6387.1743
2018-08-05 17:00:00,6497.939
2018-08-05 18:00:00,6517.3086
2018-08-05 19:00:00,6435.9956
2018-08-05 20:00:00,6254.12
2018-08-05 21:00:00,5977.8486
2018-08-05 22:00:00,5616.7715
2018-08-05 23:00:00,5184.034
2018-08-06 00:00:00,4835.501
2018-08-06 01:00:00,4565.3755
2018-08-06 02:00:00,4323.4214
2018-08-06 03:00:00,4152.292
2018-08-06 04:00:00,4075.4016
2018-08-06 05:00:00,4090.792
2018-08-06 06:00:00,4175.7603
2018-08-06 07:00:00,4300.5273
2018-08-06 08:00:00,4442.7896
2018-08-06 09:00:00,4594.8096
2018-08-06 10:00:00,4760.9414
2018-08-06 11:00:00,4949.828
2018-08-06 12:00:00,5166.5933
2018-08-06 13:00:00,5407.6562
2018-08-06 14:00:00,5658.546
2018-08-06 15:00:00,5894.9087
2018-08-06 16:00:00,6087.0366
2018-08-06 17:00:00,6207.008
2018-08-06 18:00:00,6235.455
2018-08-06 19:00:00,6164.5415
2018-08-06 20:00:00,5996.252
2018-08-06 21:00:00,5738.368
2018-08-06 22:00:00,5401.6284
2018-08-06 23:00:00,4999.6914
2018-08-07 00:00:00,4675.555
2018-08-07 01:00:00,4410.7725
2018-08-07 02:00:00,4168.141
2018-08-07 03:00:00,3984.944
2018-08-07 04:00:00,3882.9019
2018-08-07 05:00:00,3863.0881
2018-08-07 06:00:00,3908.8354
2018-08-07 07:00:00,3996.3687
2018-08-07 08:00:00,4107.071
2018-08-07 09:00:00,4234.289
2018-08-07 10:00:00,4382.0645
2018-08-07 11:00:00,4558.631
2018-08-07 12:00:00,4769.1377
2018-08-07 13:00:00,5010.2383
2018-08-07 14:00:00,5267.4033
2018-08-07 15:00:00,5515.5312
2018-08-07 16:00:00,5723.4644
2018-08-07 17:00:00,5861.618
2018-08-07 18:00:00,5909.5474
2018-08-07 19:00:00,5859.492
2018-08-07 20:00:00,5714.538
2018-08-07 21:00:00,5483.907
2018-08-07 22:00:00,5179.367
2018-08-07 23:00:00,4814.6216
2018-08-08 00:00:00,4533.4517
2018-08-08 01:00:00,4292.4937
2018-08-08 02:00:00,4138.92
2018-08-08 03:00:00,4095.6611
2018-08-08 04:00:00,4167.1274
2018-08-08 05:00:00,4325.647
2018-08-08 06:00:00,4520.4
2018-08-08 07:00:00,4703.7856
2018-08-08 08:00:00,4853.218
2018-08-08 09:00:00,4973.5703
2018-08-08 10:00:00,5085.2573
2018-08-08 11:00:00,5210.817
2018-08-08 12:00:00,5366.569
2018-08-08 13:00:00,5558.4014
2018-08-08 14:00:00,5779.3623
2018-08-08 15:00:00,6009.0073
2018-08-08 16:00:00,6216.096
2018-08-08 17:00:00,6365.3877
2018-08-08 18:00:00,6426.522
2018-08-08 19:00:00,6380.7725
2018-08-08 20:00:00,6222.523
2018-08-08 21:00:00,5956.149
2018-08-08 22:00:00,5592.006
2018-08-08 23:00:00,5144.966
2018-08-09 00:00:00,4778.338
2018-08-09 01:00:00,4552.8345
2018-08-09 02:00:00,4396.9775
2018-08-09 03:00:00,4351.358
2018-08-09 04:00:00,4426.461
2018-08-09 05:00:00,4595.0337
2018-08-09 06:00:00,4804.5825
2018-08-09 07:00:00,5004.8423
2018-08-09 08:00:00,5170.0903
2018-08-09 09:00:00,5302.84
2018-08-09 10:00:00,5422.6455
2018-08-09 11:00:00,5552.3604
2018-08-09 12:00:00,5709.2075
2018-08-09 13:00:00,5900.2065
2018-08-09 14:00:00,6119.4204
2018-08-09 15:00:00,6346.8696
2018-08-09 16:00:00,6551.001
2018-08-09 17:00:00,6695.8604
2018-08-09 18:00:00,6750.7466
2018-08-09 19:00:00,6697.435
2018-08-09 20:00:00,6531.2153
2018-08-09 21:00:00,6256.7153
2018-08-09 22:00:00,5883.236
2018-08-09 23:00:00,5423.3613
2018-08-10 00:00:00,5054.295
2018-08-10 01:00:00,4821.1157
2018-08-10 02:00:00,4643.8887
2018-08-10 03:00:00,4568.7017
2018-08-10 04:00:00,4612.9126
2018-08-10 05:00:00,4755.4917
2018-08-10 06:00:00,4948.3696
2018-08-10 07:00:00,5142.595
2018-08-10 08:00:00,5310.8726
2018-08-10 09:00:00,5452.8516
2018-08-10 10:00:00,5585.356
2018-08-10 11:00:00,5728.983
2018-08-10 12:00:00,5898.899
2018-08-10 13:00:00,6100.133
2018-08-10 14:00:00,6325.1113
2018-08-10 15:00:00,6553.093
2018-08-10 16:00:00,6753.103
2018-08-10 17:00:00,6891.097
2018-08-10 18:00:00,6938.9897
2018-08-10 19:00:00,6880.839
2018-08-10 20:00:00,6713.1304
2018-08-10 21:00:00,6440.5
2018-08-10 22:00:00,6071.3564
2018-08-10 23:00:00,5616.8706
2018-08-11 00:00:00,5256.5327
2018-08-11 01:00:00,5019.435
2018-08-11 02:00:00,4824.166
2018-08-11 03:00:00,4720.3643
2018-08-11 04:00:00,4730.053
2018-08-11 05:00:00,4837.3823
2018-08-11 06:00:00,4999.3735
2018-08-11 07:00:00,5170.4824
2018-08-11 08:00:00,5324.324
2018-08-11 09:00:00,5459.6885
2018-08-11 10:00:00,5592.0537
2018-08-11 11:00:00,5740.8564
2018-08-11 12:00:00,5920.159
2018-08-11 13:00:00,6133.5483
2018-08-11 14:00:00,6371.4683
2018-08-11 15:00:00,6610.8823
2018-08-11 16:00:00,6818.912
2018-08-11 17:00:00,6960.891
2018-08-11 18:00:00,7009.833
2018-08-11 19:00:00,6952.1304
2018-08-11 20:00:00,6786.663
2018-08-11 21:00:00,6519.5063
2018-08-11 22:00:00,6159.2617
2018-08-11 23:00:00,5716.3916
2018-08-12 00:00:00,5369.355
2018-08-12 01:00:00,5130.6074
2018-08-12 02:00:00,4920.9395
2018-08-12 03:00:00,4791.244
2018-08-12 04:00:00,4766.3135
2018-08-12 05:00:00,4835.008
2018-08-12 06:00:00,4960.1836
2018-08-12 07:00:00,5101.021
2018-08-12 08:00:00,5233.2104
2018-08-12 09:00:00,5355.313
2018-08-12 10:00:00,5481.659
2018-08-12 11:00:00,5630.5938
2018-08-12 12:00:00,5815.2134
2018-08-12 13:00:00,6037.857
2018-08-12 14:00:00,6287.1343
2018-08-12 15:00:00,6537.719
2018-08-12 16:00:00,6754.64
2018-08-12 17:00:00,6902.2583
2018-08-12 18:00:00,6954.3022
2018-08-12 19:00:00,6899.2417
2018-08-12 20:00:00,6738.3276
2018-08-12 21:00:00,6479.3247
2018-08-12 22:00:00,6131.5195
2018-08-12 23:00:00,5705.3267
2018-08-13 00:00:00,5373.959
2018-08-13 01:00:00,5133.5127
2018-08-13 02:00:00,4911.8296
2018-08-13 03:00:00,4758.6514
2018-08-13 04:00:00,4699.6978
2018-08-13 05:00:00,4728.173
2018-08-13 06:00:00,4813.273
2018-08-13 07:00:00,4919.5996
2018-08-13 08:00:00,5025.3677
